Brent_Oil,DollarIndex,Ind_Prod,Fed_Funds,Total_AutoSales,DollarIndex_1W_Chg,DollarIndex_1M_Chg,DollarIndex_1Q_Chg,Real_GDP,IR_Diff
76.61,93.8752,89.5046,0.13,10.315,-22.74428185459414,-23.97162477252277,0.3240285555508038,67.95168468480907,-171.37
96.31,96.0748,102.9417,0.09,16.959,2.1615873758533466,-17.766989294065695,-17.2779458196324,74.9724310143719,-176.41
64.95,107.0359,101.7319,1.42,17.447,-8.418481283422462,-3.7965160853101643,21.404760419443193,81.46769714141442,-160.48000000000002
73.86,119.8659,102.3809,5.08,16.607,29.872582480091015,-3.467851045324233,28.662559170486148,85.5078370937129,-240.82
69.7,115.5997,102.1494,1.55,17.594,0.5032128943522451,25.97609935137397,32.079979433859876,84.93281732905741,-217.45
96.07,115.0999,101.8458,0.08,14.109,22.609485785383153,-6.167055395725085,-0.027707375373264842,86.64875322895249,-347.62
108.77,93.3199,99.4897,0.08,15.827,-2.867453275989118,-16.025307616581152,-14.74948728138089,72.62112774998288,-170.11999999999998
70.42,113.7986,100.0668,0.1,15.306,6.318160542397444,1.802863218387718,6.318160542397444,87.60845092171151,-394.2
74.54,119.5206,102.9809,5.06,16.083,-0.2880719203710136,21.680551469128506,20.433000411114598,85.68766667216059,-261.34
109.9,92.6316,99.047,0.14,15.721,-19.8686501781579,-22.10549507102716,-20.915023751549565,71.67231640850345,-212.76000000000002
67.85,109.6751,101.4852,1.41,17.176,-4.713123121740336,-6.3243297722233365,17.178258231050634,81.68703161227843,-163.69
118.43,86.5714,94.0493,0.09,11.886,-7.231576544766982,-23.425209212885445,-25.300256703410483,69.2042872521196,-255.10999999999999
109.95,90.4896,97.9084,0.16,15.456,-20.48267729128478,-1.270537815547812,-17.128829568901338,71.00752435686209,-215.94
51.49,115.9922,104.0126,2.2,18.061,-2.9521270810220157,-1.8346310088016238,24.182667858614938,82.81220852435132,-156.20000000000002
64.56,112.538,98.1929,0.07,18.287,21.489858752304826,20.4480653475011,29.575642017611713,85.31269110263862,-454.13
73.71,116.4342,101.1948,0.08,13.244,6.162839149451438,29.468002775405644,4.680091271489539,87.79879134497592,-307.02000000000004
79.45,122.1502,101.8266,4.1,14.048,41.09763732595291,0.5249674312806318,5.87297171033756,86.99329009544462,-294.9
43.28,119.5814,95.0037,0.09,15.279,32.149329867741706,27.157440292635204,8.71510756833025,83.77310299990711,-246.81
115.19,93.752,102.2392,0.09,17.137,-19.173875484730875,-19.784385026737972,-17.031425613069374,73.94333904557696,-176.41
83.03,121.531,102.8143,4.65,15.439,7.991078569016685,31.67668887805406,6.685312082475248,86.14798968662176,-250.25
63.29,114.9526,101.3372,1.55,16.841,-1.272478361168794,-0.05938051258509436,26.552113631209394,83.83935868616409,-236.64999999999998
74.13,92.6627,89.1897,0.11,10.893,-24.140361620365745,-1.291608433324254,-14.592890198930276,67.88700985801516,-168.69
52.33,100.7988,85.7903,0.15,9.379,-15.706957771024587,4.917002169143214,7.168464878519698,67.60990837247131,-112.44999999999999
47.91,110.2188,100.1563,0.12,18.27,17.564211963478126,2.9736751874838374,-13.36334967253473,77.54555320464554,-132.18
39.26,110.4002,98.1635,0.36,17.291,-9.158815446264745,-7.896908128166558,24.71484521944238,77.81389868951612,-121.14
107.17,123.293,103.0505,1.68,13.965,7.25551227201473,6.655121077303838,6.506325089926501,88.12429104642057,-291.02
65.62,111.0827,101.4871,1.3,17.887,19.878548758022376,-3.4901854823505496,-4.195030992688887,76.23994269687859,-153.79999999999998
80.97,118.8525,102.6309,5.33,16.574,17.91062988845107,27.360295071040586,3.647694203438223,84.19534433280862,-201.36999999999998
118.9,91.3056,98.6434,0.15,15.861,-17.15968600638004,-19.765621018184753,-24.801659038854496,71.4707796528675,-213.75
35.82,98.6518,88.3712,0.15,9.786,-10.641647388319953,-17.46042104875646,13.009679821295595,68.09181203493557,-101.35
57.31,108.1726,101.0893,0.13,18.318,-12.263794375998637,16.777212096088157,13.190564087109745,77.30671248645152,-139.17000000000002
